"","doi","title","authors","author_corresponding","author_corresponding_institution","date","version","license","type","category","abstract","published"
"1","10.1101/2020.04.21.053967","protein-sol pKa: prediction of electrostatic frustration, with application to coronaviruses","Hebditch, M.; Warwicker, J.","Jim Warwicker","University of Manchester","2020-04-22",1,"cc_by_nc","new results","bioinformatics","Evolution couples differences in ambient pH to biological function through protonatable groups, in particular those that switch from buried to exposed and alter protonation state in doing so. We present a tool focusing on structure-based discovery and display of these groups. Since prediction of buried group pKas is computationally intensive, solvent accessibility of ionisable groups is displayed, from which the user can iteratively select pKa calculation centers. Results are color-coded, with emphasis on buried groups. Utility is demonstrated with coronaviruses, which exhibit variable dependence on the acidic pH of the endocytotic pathway. After benchmarking with variants of murine hepatitis virus, a pair of conserved histidine residues are identified that are predicted to be electrostatically frustrated at acidic pH in a common structural core of pre- and post-fusion coronavirus spike proteins. We suggest that an intermediate expanded conformation at endosomal pH could relax the frustration, allowing histidine protonation, and facilitating conformational conversion. This tool is available at http://www.protein-sol.manchester.ac.uk/pka/.","NA"
"2","10.1101/2020.03.31.005629","Deep analysis of the USP18-dependent ISGylome and proteome unveils important roles for USP18 in tumour cell antigenicity and radiosensitivity","Pinto-Fernandez, A.; Salio, M.; Partridge, T.; Chen, J.; Vere, G.; Greenwood, H.; Olie, C. S.; Damianou, A.; Scott, H. C.; Pegg, H. J.; Chiarenza, A.; Diaz-Saez, L.; Smith, P.; Gonzalez-Lopez, C.; Patel, B.; Anderton, E.; Jones, N.; Hammonds, T. R.; Huber, K.; Muschel, R.; Borrow, P.; Cerundolo, V.; Kessler, B. M.","Adan Pinto-Fernandez","University of Oxford","2020-04-22",5,"cc_by_nc_nd","new results","cancer biology","The deubiquitylating enzyme USP18 is a major negative regulator of the interferon (IFN) signalling cascade. IFN pathways contribute to resistance to conventional chemotherapy, radiotherapy, and immunotherapy and are often deregulated in cancer. USP18 is the predominant human protease that cleaves interferon-stimulated gene ISG15, a ubiquitin-like protein tightly regulated in the context of innate immunity, from its modified substrate proteins in vivo. In this study, using advanced proteomic techniques, we have expanded the USP18-dependent ISGylome and proteome in a chronic myeloid leukaemia (CML)-derived cell line (HAP1) treated with type I IFN. Novel ISGylation targets were characterised that modulate the sensing of innate ligands, antigen presentation and secretion of cytokines. Consequently, CML USP18-deficient cells are more antigenic, driving increased activation of cytotoxic T lymphocytes (CTLs) and are more susceptible to irradiation. Our results suggest USP18 as a pharmacological target in cancer immunotherapy and radiotherapy.","NA"
"3","10.1101/2020.01.19.911800","Connecting secretome to hematopoietic stem cell phenotype shifts in an engineered bone marrow niche","Gilchrist, A. E.; Harley, B.","Brendan Harley","University of Illinois at Urbana-Champaign","2020-04-22",2,"cc_no","new results","bioengineering","Hematopoietic stem cells (HSCs) primarily reside in the bone marrow, where they receive external cues from their local microenvironment. The complex milieu of biophysical cues, cellular components, and cell-secreted factors regulates the process by which HSC produce the blood and immune system. We previously showed direct co-culture of primary murine hematopoietic stem and progenitor cells with a population of marrow-derived mesenchymal stromal and progenitor cells (MSPCs) in a methacrylamide-functionalized gelatin (GelMA) hydrogel improves hematopoietic progenitor maintenance. However, the mechanism by which MSPCs influenced HSC fate decisions remained unknown. Herein, we report the use of proteomic analysis to correlate HSC phenotype to a broad candidate pool of 200 soluble factors produced by combined mesenchymal and hematopoietic progeny. Partial Least Squares Regression (PLSR), along with an iterative filter method, identified TGF{beta}-1, MMP-3, c-RP, and TROY as positively correlated with HSC maintenance. Experimentally, we then observe exogenous stimulation of HSC monocultures in GelMA hydrogels with these combined cytokines increases the ratio of hematopoietic progenitors to committed progeny after a 7-day culture 7.52 {+/-} 3.65 fold compared to non-stimulated monocultures. Findings suggest a cocktail of the downselected cytokines amplify hematopoietic maintenance potential of HSCs beyond that of MSPC-secreted factors alone. This work integrates empirical and computation methods to identify cytokine combinations to improve HSC maintenance within an engineered HSC niche, suggesting a route towards identifying feeder-free culture platforms for HSC expansion.

InsightHematopoietic stem cells within an artificial niche receive maintenance cues in the form of soluble factors from hematopoietic and mesenchymal progeny. Applying a proteomic regression analysis, we identify a reduced set of soluble factors correlated to maintenance of a hematopoietic phenotype during culture in a biomaterial model of the bone marrow niche. We identify a minimum factor cocktail that promotes hematopoietic maintenance potential in a gelatin-based culture, regardless of the presence of mesenchymal feeder-cells. By combining empirical and computational methods, we report an experimentally feasible number of factors from a large dataset, enabling exogenous integration of soluble factors into an engineered hematopoietic stem cell for enhance maintenance potential of a quiescent stem cell population.","NA"
"4","10.1101/2020.04.20.050021","Cluster Analysis of Medicinal Plants and Targets Based on Multipartite Network","Lee, N.; Yoo, H.; Yang, H.","Heejung Yang","Kangwon National University, Bionsight Inc.","2020-04-22",2,"cc_no","new results","bioinformatics","Although medicinal plants have played an important role in the development of therapeutics as natural compound sources, the synergistic effects of the multiple chemicals in the plants on multiple targets have not been studied widely. Recently, network-based methods for the analysis of drug-target interactions have gained attention and relies on the paradigm that a single drug can act on multiple targets rather than a single target. In this study, we have presented a novel approach to analyze the interactions between the chemicals in the medicinal plants and multiple targets based on the complex multipartite network of the medicinal plants, multi-chemicals, and multiple targets. The multipartite network was constructed via the conjunction of two relationships: chemicals in plants and the biological actions of those chemicals on the targets. By analyzing the structural characteristics of the network using the network analysis techniques, we investigated the similarities among the plants via their chemical profiles obtained from the hierarchical clustering analysis. In doing so, we introduced an index of the efficacy of chemicals in a plant on a protein target of interest, called target potency score (TPS). We showed that the analysis can identify specific chemical profiles from each group of plants, which can then be employed for discovering new alternative therapeutic agents. Furthermore, specific clusters of plants and chemicals acting on specific targets were retrieved using TPS that suggested potential drug candidates with high probability of clinical success. We expect that this approach may open a way to predict the biological functions of multi-chemicals and multi-plants on the targets of interest and enable repositioning of the plants and chemicals.","NA"
"5","10.1101/2020.04.21.053066","Helicobacter hepaticus as disease driver in a novel CD40-mediated model of colitis","Friedrich, V.; Forne, I.; Matzek, D.; Ring, D.; Popper, B.; Jochum, L.; Spriewald, S.; Straub, T.; Imhof, A.; Krug, A.; Stecher, B.; Brocker, T.","Thomas Brocker","Institute for Immunology, BioMedical Center, Faculty of Medicine, LMU Munich, 82152 Munich, Germany","2020-04-22",1,"cc_no","new results","immunology","Gut microbiota and the immune system are in constant exchange, which shapes both, host immunity and microbial communities. Here, improper immune regulation can cause inflammatory bowel disease (IBD) and colitis. Antibody therapies blocking signaling through the CD40 - CD40L axis showed promising results as these molecules have been described to be deregulated in certain IBD patients. To better understand the mechanism, we used transgenic DC-LMP1/CD40 animals, which lack intestinal CD103+ dendritic cells (DCs) and therefore cannot induce regulatory T (iTreg) cells due to a constitutive CD40-signal in CD11c+ cells. These mice rapidly develop spontaneous fatal colitis with an increase of inflammatory IL-17+IFN-{gamma}+ Th17/Th1 and IFN-{gamma}+ Th1 cells. In the present study we analyzed the impact of the microbiota on disease development and detected elevated IgA- and IgG-levels in sera from DC-LMP1/CD40 animals. Their serum antibodies specifically bound intestinal bacteria and we identified a 60 kDa chaperonin GroEL (Hsp60) from Helicobacter hepaticus (Hh) as the main specific antigen targeted in absence of iTregs. When rederived to a different Hh-free SPF-microbiota, mice showed few signs of disease without fatalities, but upon recolonization of mice with Hh we found rapid disease onset and the generation of inflammatory Th17/Th1 and Th1 cells in the colon. Thus, the present work identifies a major bacterial antigen and highlights the impact of specific microorganisms on modulating the host immune response and its role on disease onset, progression and outcome in this colitis model.","NA"
"6","10.1101/2020.04.21.053553","Long-run bacteria-phage coexistence dynamics under natural habitat conditions in an environmental biotechnology system","Guerrero, L. D.; Perez, M. V.; Orellana, E.; Piuri, M.; Quiroga, C.; Erijman, L.","Leonardo Erijman","Instituto de Investigaciones en Ingenieria Genetica y Biologia Molecular Dr Hector N. Torres (INGEBI-CONICET)","2020-04-22",1,"cc_by_nc_nd","new results","microbiology","Bacterial viruses are widespread and abundant across natural and engineered habitats. They influence ecosystem functioning through interactions with their hosts. Laboratory studies of phage-host pairs have advanced our understanding of phenotypic and genetic diversification in bacteria and phages. However, the dynamics of phage-host interactions has been seldom recorded in complex natural environments. We conducted an observational metagenomic study of the dynamics of interaction between Gordonia and their phages using a three-year data series of samples collected from a full-scale wastewater treatment plant. The aim was to obtain a comprehensive picture of the coevolution dynamics in naturally evolving populations at relatively high time resolution. Co-evolution was followed by monitoring changes over time in the CRISPR loci of Gordonia metagenome-assembled genome, and reciprocal changes in the viral genome. Genome-wide analysis indicated low strain variability of Gordonia, and almost clonal conservation of the trailer-end of the CRISPR loci. Incorporation of newer spacers gave rise to multiple coexisting bacterial populations. A host population containing a CRISPR array variant, which did not contain spacers against the coexisting phages, accounted for more than half of the total host abundance in the majority of samples. Phages genome co-evolved by introducing directional changes, with no preference for mutations within the protospacer and PAM regions. Metagenomic reconstruction of time-resolved variants of host and virus genomes revealed how selection operates at the population level. In activated sludge, it differed from the arms-race observed in nutrient rich media and resembled the fluctuating selection dynamics observed in natural environments.","NA"
"7","10.1101/2020.04.20.050476","Dissemination routes of the carbapenem resistance plasmid pOXA-48 in a hospital setting","Leon-Sampedro, R.; DelaFuente, J.; Diaz-Agero, C.; Crellen, T.; Musicha, P.; Rodriguez-Beltran, J.; de la Vega, C.; Hernandez-Garcia, M.; Lopez-Fresnena, N.; Ruiz-Garbajosa, P.; Canton, R.; Cooper, B. S.; San Millan, A.","Alvaro San Millan","Servicio de Microbiologia. Hospital Universitario Ramon y Cajal and Instituto Ramon y Cajal de Investigacion Sanitaria. Madrid, Spain.","2020-04-22",1,"cc_by_nc_nd","new results","microbiology","Introductory paragraphInfections caused by carbapenemase-producing enterobacteria (CPE) are a major concern in clinical settings worldwide. Two fundamentally different processes shape the epidemiology of CPE in hospitals: the dissemination of CPE clones from patient to patient (between-patient transfer), and the transfer of carbapenemase-encoding plasmids between enterobacteria in the gut microbiota of individual patients (within-patient transfer). The relative contribution of each process to the overall dissemination of carbapenem resistance in hospitals remains poorly understood. Here, we used mechanistic models combining epidemiological data from more than 9,000 patients with whole genome sequence information from 250 enterobacteria clones to characterise the dissemination routes of the carbapenemase-encoding plasmid pOXA-48 in a hospital setting over a two-year period. Our results revealed frequent between-patient transmission of high-risk pOXA-48-carrying clones, mostly of Klebsiella pneumoniae and sporadically Escherichia coli. The results also identified pOXA-48 dissemination hotspots within the hospital, such as specific wards and individual rooms within wards. Using high-resolution plasmid sequence analysis, we uncovered the pervasive within-patient transfer of pOXA-48, suggesting that horizontal plasmid transfer occurs in the gut of virtually every colonised patient. The complex and multifaceted epidemiological scenario exposed by this study provides new insights for the development of intervention strategies to control the in-hospital spread of CPE.","NA"
"8","10.1101/2020.04.21.042911","Molecular Detection of SARS-CoV-2 in Formalin Fixed Paraffin Embedded Specimens","Zeng, X.; Liu, J.; Babka, A.; Kearney, B.; Radoshitzky, S.; Kuhn, J.","Xiankun Zeng","United States Army Medical Research Institute of Infectious Diseases","2020-04-22",1,"cc_no","new results","microbiology","Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the cause of human coronavirus disease 2019 (COVID-19), emerged in Wuhan, China in December 2019. The virus rapidly spread globally, resulting in a public-health crisis including more than one million cases and tens of thousands of deaths. Here, we describe the identification and evaluation of commercially available reagents and assays for the molecular detection of SARS-CoV-2 in infected formalin fixed paraffin embedded (FFPE) cell pellets. We identified a suitable rabbit polyclonal anti-SARS-CoV spike protein antibody and a mouse monoclonal anti-SARS-CoV nucleocapsid protein (NP) antibody for cross detection of the respective SARS-CoV-2 proteins by immunohistochemistry (IHC) and immunofluorescence assay (IFA). Next, we established RNAscope in situ hybridization (ISH) to detect SARS-CoV-2 RNA. Furthermore, we established a multiplex fluorescence ISH (mFISH) to detect positive-sense SARS-CoV-2 RNA and negative-sense SARS-CoV-2 RNA (a replicative intermediate indicating viral replication). Finally, we developed a dual staining assay using IHC and ISH to detect SARS-CoV-2 antigen and RNA in the same FFPE section. These reagents and assays will accelerate COVID-19 pathogenesis studies in humans and in COVID-19 animal models.","NA"
"9","10.1101/870741","Identification of GABAergic neurons innervating the zebrafish lateral habenula","Ramaswamy, M.; Cheng, R.-K.; Jesuthasan, S. J.","Suresh J Jesuthasan","Lee Kong Chian School of Medicine","2020-04-22",3,"cc_by_nc_nd","new results","neuroscience","Habenula neurons are constantly active. The level of activity affects mood and behaviour, with increased activity in the lateral habenula reflecting exposure to punishment and a switch to passive coping and depression. Here, we identify GABAergic neurons that could reduce activity in the lateral habenula of larval zebrafish. GAD65/67 immunohistochemistry and imaging of gad1b:DsRed transgenic fish suggest the presence of GABAergic terminals in the neuropil and between cell bodies in the lateral habenula. Retrograde tracing with the lipophilic dye DiD suggests that the former derives from the thalamus, while the latter originates from a group of cells in the posterior hypothalamus that are located between the posterior tuberal nucleus and hypothalamic lobes. Two-photon calcium imaging indicates that blue light causes excitation of thalamic GABAergic neurons and terminals in the neuropil, while a subpopulation of lateral habenula neurons show reduced intracellular calcium levels. Whole-cell electrophysiological recording indicates that blue-light reduces membrane potential of lateral habenula neurons. These observations suggest that GABAergic input from the thalamus may mediate inhibition in the zebrafish lateral habenula. Mechanisms governing release of GABA from the neurons in the posterior hypothalamus, which are likely to be in the tuberomammillary nucleus, remain to be defined.","NA"
"10","10.1101/2020.04.10.031294","Pattern-recognition receptors are required for NLR-mediated plant immunity","Yuan, M.; Jiang, Z.; Bi, G.; Nomura, K.; Liu, M.; He, S. Y.; Zhou, J.-M.; Xin, X.-F.","Xiu-Fang Xin","National key Laboratory of Plant Molecular Genetics, CAS Center for Excellence in Molecular Plant Sciences, Institute of Plant Physiology and Ecology, Chinese A","2020-04-22",2,"cc_by_nc_nd","new results","plant biology","The plant immune system is fundamental to plant survival in natural ecosystems and productivity in crop fields. Substantial evidence supports the prevailing notion that plants possess a two-tiered innate immune system, called pattern-triggered immunity (PTI) and effector-triggered immunity (ETI). PTI is triggered by microbial patterns via cell surface-localized pattern-recognition receptors (PRRs), whereas ETI is activated by pathogen effector proteins via mostly intracellularly-localized receptors called nucleotide-binding, leucine-rich repeat proteins (NLRs)1-4. PTI and ETI have traditionally been considered to act independently and have evolved sequentially5,6. Here we show that, contrary to the perception of PTI and ETI being separate immune signaling pathways, Arabidopsis PRR/co-receptor mutants, fls2/efr/cerk1 and bak1/bkk1/cerk1 triple mutants, are greatly impaired in ETI responses when challenged with incompatible Pseudomonas syrinage bacteria. We further show that the NADPH oxidase (RBOHD)-mediated production of reactive oxygen species (ROS) is a critical early signaling event connecting PRR and NLR cascades and that PRR-mediated phosphorylation of RBOHD is necessary for full activation of RBOHD during ETI. Furthermore, NLR signaling rapidly augments the transcript and protein levels of key PTI components at an early stage and in a salicylic acid-independent manner. Our study supports an alternative model in which PTI is in fact an indispensable component of ETI during bacterial infection, implying that ETI halts pathogen infection, in part, by directly co-opting the anti-pathogen mechanisms proposed for PTI. This alternative model conceptually unites two major immune signaling pathways in the plant kingdom and mechanistically explains the long-observed similarities in downstream defense outputs between PTI and ETI.","NA"
