"","doi","title","authors","author_corresponding","author_corresponding_institution","date","version","license","type","category","abstract","published"
"1","10.1101/2019.12.31.892091","Cell shape, and not 2D migration, predicts ECM-driven 3D cell invasion in breast cancer","Baskaran, J. P.; Weldy, A.; Guarin, J.; Munoz, G.; Kotlick, M.; Subbiah, N.; Wishart, A. L.; Peng, Y.; Miller, M. A.; Cowen, L.; Oudin, M.","Madeleine Oudin","Tufts University","2020-01-01",1,"cc_by_nc_nd","new results","bioengineering","Metastasis, the leading cause of death in cancer patients, requires the invasion of tumor cells through the stroma in response to migratory cues, such as those provided by the extracellular matrix (ECM). Recent advances in proteomics have led to the identification of hundreds of ECM proteins which are more abundant in tumors relative to healthy tissue. Our goal was to develop a pipeline to easily predict which of these ECM proteins is more likely to have an effect on cancer invasion and metastasis. We evaluated the effect of 4 ECM proteins upregulated in breast tumor tissue in multiple human breast cancer cell lines in 3 assays. We found there was no linear relationship between the 11 cell shape parameters we quantified when cells adhere to ECM proteins and 2D cell migration speed, persistence or 3D invasion. We then used classifiers and partial-least squares regression analysis to identify which metrics best predicted ECM-driven 2D migration and 3D invasion responses. ECM-driven 2D cell migration speed or persistence did not correlate with or predict 3D invasion in response to that same cue. However, cell adhesion, and in particular cell elongation and irregularity accurately predicted the magnitude of ECM-driven 2D migration and 3D invasion in all cell lines. Testing predictions revealed that our models are good at predicting the effect of novel ECM proteins within a given cell line, but that ECM responses are cell-line specific. Overall, our studies identify the cell morphological features that determine 3D invasion responses to individual ECM proteins. This platform will help provide insight into the functional role of ECM proteins abundant tumor tissue and help prioritize strategies for targeting tumor-ECM interactions to treat metastasis.

FundingThis work was supported by the National Institutes of Health [R00-CA207866-04 to M.J.O.]; Tufts University [Start-up funds from the School of Engineering to M.J.O.] and funds from NSF REU to A.W.

Conflict-of-interest: None.

Insight BoxMetastasis, the dissemination of tumor cells, is driven by the interaction of invading tumor cells with their local environment, in particular with the ECM, which provides structure and support to our tissues. This study presents an integrated approach to predict the effect of individual ECM proteins on 3D invasion and metastasis based on simple adhesion assays which quantify cell shape. Machine learning classification and partial-least squares regression models reveal that ECM-driven 2D cell migration metrics are not predictive of 3D invasion, and that cell shape of cells adhered to ECM can predict that proteins effect on 3D invasion. These data provide a pipeline for predicting the effect of ECM proteins on breast cancer cell invasion and metastasis.","NA"
"2","10.1101/2019.12.31.891234","Tau avoids the GTP cap at growing microtubule plus ends","Castle, B. T.; McKibben, K. M.; Rhoades, E.; Odde, D. J.","David J Odde","University of Minnesota","2020-01-01",1,"cc_by_nc_nd","new results","cell biology","Plus-end tracking proteins (+TIPs) are a group of proteins that associate with the growing end of microtubules and mediate important cellular functions including neural development and cell division. Work in recent years has shown that the majority of +TIPs are directed to the plus-end through a family of end binding proteins (EBs), which preferentially bind the stabilizing cap of GTP-tubulin present during microtubule growth, versus weaker binding to GDP-tubulin in the proximal microtubule. One question yet to be addressed is whether there may exist other microtubule associated proteins (MAPs) that preferentially bind specific nucleotide states of tubulin. Here we report that the neuronal MAP tau, which is enriched in axons where it promotes microtubule growth and bundling, preferentially binds GDP-tubulin (KD = 0.26 {micro}M) over GMPCPP-tubulin (KD = 1.1 {micro}M) in vitro as well as GTP-tubulin at the tips of growing microtubules in vitro and in vivo. This nucleotide preference causes tau binding to lag behind the growing microtubule plus-end by about 100-200 nm both in vitro and in live cells. Thus, tau is a microtubule tip avoiding protein, establishing a new class of tip avoiding MAPs, and acts primarily by suppressing microtubule shortening rather than promoting growth. We speculate that neurological disease-relevant tau mutations may exert their phenotype by their failure to properly recognize GDP-tubulin, thus displacing +TIPs, such as EB3, and their associated activities into abnormal locations in the neuron.","NA"
"3","10.1101/2019.12.19.881896","Enhanced sensory coding in mouse vibrissal and visual cortex through TRPA1","Kheradpezhouh, E.; Tang, M. F.; Mattingley, J. B.; Arabzadeh, E.","Ehsan Kheradpezhouh","The Australian National University","2020-01-01",2,"cc_by_nc_nd","new results","neuroscience","Transient Receptor Potential Ankyrin 1 (TRPA1) is a non-selective cation channel, which is broadly expressed throughout the body. Despite its expression in the mammalian cortex, little is known about the contribution of TRPA1 to cortical function. Here we investigate the role of TRPA1 in sensory information processing by performing electrophysiological recording and 2-photon calcium imaging from two sensory areas in mice: the primary vibrissal somatosensory cortex (vS1) and the primary visual cortex (V1). In vS1, local activation of TRPA1 by its agonist AITC significantly increased the spontaneous activity of cortical neurons, their evoked response to vibrissal stimulation, and their response range, consistent with a positive gain modulation. TRPA1 inhibition with HC-030031 reversed these modulations to below initial control gains. The gain modulations were absent in TRPA1 Knockout mice. In V1, TRPA1 activation increased the gain of direction and orientation selectivity similarly to the gain modulations observed in vS1 cortex. Linear decoding analysis of V1 population activity confirmed faster and more reliable encoding of visual signals in the presence of TRPA1 activation. Overall, our findings reveal a physiological role for TRPA1 in enhancing sensory signals in the mammalian cortex.","NA"
"4","10.1101/552125","The tortoise strategy as an arbovirus fitness phenotype within the mosquito as revealed by a novel formulation of age-structured vectorial capacity","Mayton, E. H.; Wearing, H. J.; Tramonte, A. R.; Christofferson, R. C.","Rebecca C Christofferson","Louisiana State University","2020-01-01",5,"cc_no","new results","ecology","The transmission dynamics of arboviruses like Zika virus (ZIKV) are most often evaluated by vector competence and the related extrinsic incubation period (EIP), which represent the proportion of vectors that become infectious given exposure and the time it takes for a vector to become infectious given exposure, respectively. Thus, EIP is the temporality of vector competence, and these measures have been used to evaluate the relative fitness of arbovirus systems. However, another temporal process critical to assessing arbovirus transmission dynamics is the age-structure of vector populations, as studies have demonstrated how vector mortality interplays with vector competence and EIP to alter transmission system efficiency. These and other parameters are critical to vectorial capacity (VC), a measure of transmission potential of a vector-pathogen system. However, how these three components - EIP, vector competence, and age - affect VC still needs to be addressed. We first compared experimentally how vector competence/EIP and mosquito age at the time of infection acquisition (Ageacquisition) interacted in an Aedes aegypti-ZIKV model system. We found that Ageacquisition did not alter the vector competence/EIP using traditional analyses, except in the context of mortality. To capture and quantify this age-dependent context, we developed an age-structured vectorial capacity framework (VCage) by experimentally determining daily mortality and probability of biting, as well as vector competence/EIP parameterized as EIPMin and EIPMax. Like previous studies, we found that arbovirus phenotypes leading to outbreaks are not straightforward and may follow a tortoise and the hare (TotH), whereby slow and steady is as or better than fast and furious phenotypes. Understanding the contributions of these age-dependent life traits as well as VCage allows for quantification and visualization of both the magnitude and temporality of transmission dynamics in an age-dependent manner, which reveals this TotH model that should change how compare and rank arbovirus phenotypes, and perhaps even how we identify  highly or  negligibly competent vectors.","NA"
"5","10.1101/742411","Topography and Land Use Modulate Hydrological and Nutrient Export Dynamics in Andean Streams","Sosnovsky, A.; Lallement, M. E.; Rechencq, M.; Zattara, E. E.; Fernandez, M. V.; Leiva, S.; Suarez, M. J.; Daga, R.; Cantet, R. J.","Alejandro Sosnovsky Sr.","Conicet Inibioma","2020-01-01",3,"cc_by_nc_nd","new results","ecology","Rivers and streams act as integrators of aquatic and terrestrial ecosystems, their dynamics driven by multiple environmental factors and scales. Hydrological and nutrient dynamics of Andean fluvial ecosystems, and how they are affected by anthropic impacts is still poorly known. We characterized two adjacent streams with contrasting drainage basins: Casa de Piedra, originating in a small mountain lake and running through a pristine landscape, and Gutierrez, originating in a large piedmont lake and running through an anthropized landscape. Despite both drainage basins sharing geology and temperature and precipitation regimes, we found that the streams presented contrasting hydrological dynamics and nutrient export values. Casa de Piedra had higher discharge flashiness with shorter response delays to precipitation, while Gutierrez showed more stable hydrograms due to buffering by the large piedmont lake in Gutierrezs basin. Streams showed differences in the quality and timing of coarse particulate organic matter export and basal export levels of phosphorus and nitrogen that could be explained by human activities affecting Gutierrez but not Casa de Piedra. Moreover, nitrogen:phosphorus ratio indicates a possible future shift to phosphorus as the limiting nutrient as Andean basins become more densely populated. In summary, our results show that even under a common geology and a climate, stream dynamics of adjacent basins can be starkly different due to topographic and land use drivers.","NA"
"6","10.1101/737155","Ancestral reconstruction of sunflower karyotypes reveals non-random chromosomal evolution","Ostevik, K. L.; Samuk, K.; Rieseberg, L. H.","Kate L Ostevik","Duke University","2020-01-01",2,"cc_by_nc","new results","evolutionary biology","Mapping the chromosomal rearrangements between species can inform our understanding of genome evolution, reproductive isolation, and speciation. Here we present a novel algorithm for identifying regions of synteny in pairs of genetic maps, which is implemented in the accompanying R package, syntR. The syntR algorithm performs as well as previous ad-hoc methods while being systematic, repeatable, and is applicable to mapping chromosomal rearrangements in any group of species. In addition, we present a systematic survey of chromosomal rearrangements in the annual sunflowers, which is a group known for extreme karyotypic diversity. We build high-density genetic maps for two subspecies of the prairie sunflower, Helianthus petiolaris ssp. petiolaris and H. petiolaris ssp. fallax.

Using syntR, and we identify blocks of synteny between these two subspecies and previously published high-density genetic maps. We reconstruct ancestral karyotypes for annual sunflowers using those synteny blocks and conservatively estimate that there have been 7.9 chromosomal rearrangements per million years - a high rate of chromosomal evolution. Although the rate of inversion is even higher than the rate of translocation in this group, we further find that every extant karyotype is distinguished by between 1 and 3 translocations involving only 8 of the 17 chromosomes. This non-random exchange suggests that specific chromosomes are prone to translocation and may thus contribute disproportionately to widespread hybrid sterility in sunflowers. These data deepen our understanding of chromosome evolution and confirm that Helianthus has an exceptional rate of chromosomal rearrangement that may facilitate similarly rapid diversification.","NA"
"7","10.1101/843474","RNA Sequencing by Direct Tagmentation of RNA/DNA Hybrids","Di, L.; Fu, Y.; Sun, Y.; Li, J.; Liu, L.; Yao, J.; Wang, G.; Wu, Y.; Lao, K.; Lee, R. W.; Zheng, G.; Xu, J.; Oh, J.; Wang, D.; Xie, X. S.; Huang, Y.; Wang, J.","Jianbin Wang","Tsinghua University","2020-01-01",2,"cc_by_nc_nd","new results","molecular biology","Transcriptome profiling by RNA sequencing (RNA-seq) has been widely used to characterize cellular status but it relies on second strand cDNA synthesis to generate initial material for library preparation. Here we use bacterial transposase Tn5, which has been increasingly used in various high-throughput DNA analyses, to construct RNA-seq libraries without second strand synthesis. We show that Tn5 transposome can randomly bind RNA/DNA heteroduplexes and add sequencing adapters onto RNA directly after reverse transcription. This method, Sequencing HEteRo RNA-DNA-hYbrid (SHERRY), is versatile and scalable. SHERRY accepts a wide range of starting materials, from bulk RNA to single cells. SHERRY offers a greatly simplified protocol, and produces results with higher reproducibility and GC uniformity compared with prevailing RNA-seq methods.

Significance StatementRNA sequencing is widely used to measure gene expression in biomedical research; therefore, improvements in the simplicity and accuracy of the technology are desirable. All existing RNA sequencing methods rely on the conversion of RNA into double-stranded DNA through reverse transcription followed by second strand synthesis. The latter step requires additional enzymes and purification, and introduces sequence-dependent bias. Here, we show that Tn5 transposase, which randomly binds and cuts double-stranded DNA, can directly fragment and prime the RNA/DNA heteroduplexes generated by reverse transcription. The primed fragments are then subject to PCR amplification. This provides a new approach for simple and accurate RNA characterization and quantification.","10.1073/pnas.1919800117"
"8","10.1101/2019.12.31.891697","Deep evolutionary analysis reveals the design principles of fold A glycosyltransferases","Taujale, R.; Venkat, A.; Huang, L.-C.; Yeung, W.; Rasheed, K.; Edison, A. S.; Moremen, K. W.; Kannan, N.","Natarajan Kannan","University of Georgia","2020-01-01",2,"cc_by_nc_nd","new results","bioinformatics","Glycosyltransferases (GTs) are prevalent across the tree of life and regulate nearly all aspects of cellular functions by catalyzing synthesis of glycosidic linkages between diverse donor and acceptor substrates. Despite the availability of GT sequences from diverse organisms, the evolutionary basis for their complex and diverse modes of catalytic and regulatory functions remain enigmatic. Here, based on deep mining of over half a million GT-A fold sequences from diverse organisms, we define a minimal core component shared among functionally diverse enzymes. We find that variations in the common core and the emergence of hypervariable loops extending from the core contributed to the evolution of catalytic and functional diversity. We provide a phylogenetic framework relating diverse GT-A fold families for the first time and show that inverting and retaining mechanisms emerged multiple times independently during the course of evolution. We identify conserved modes of donor and acceptor recognition in evolutionarily divergent families and pinpoint the sequence and structural features for functional specialization. Using the evolutionary information encoded in primary sequences, we trained a machine learning classifier to predict donor specificity with nearly 88% accuracy and deployed it for the annotation of understudied GTs in five model organisms. Our studies provide an evolutionary framework for investigating the complex relationships connecting GT-A fold sequence, structure, function and regulation.","10.7554/eLife.54532"
"9","10.1101/797142","Examining go-or-grow using fluorescent cell-cycle indicators and cell cycle-inhibiting drugs","Vittadello, S. T.; McCue, S. W.; Gunasingh, G.; Haass, N. K.; Simpson, M. J.","Sean T Vittadello","Queensland University of Technology","2020-01-01",2,"cc_no","new results","biophysics","The go-or-grow hypothesis states that adherent cells undergo reversible phenotype switching between migratory and proliferative states, with cells in the migratory state being more motile than cells in the proliferative state. Here we examine go-or-grow in 2-D in vitro assays using melanoma cells with fluorescent cell-cycle indicators and cell cycle-inhibiting drugs. We analyse the experimental data using single-cell tracking to calculate mean diffusivities, and compare motility between cells in different cell-cycle phases and in cell-cycle arrest. Unequivocally, our analysis does not support the go-or-grow hypothesis. We present clear evidence that cell motility is independent of the cell-cycle phase, and non-proliferative arrested cells have the same motility as cycling cells.","10.1016/j.bpj.2020.01.036"
"10","10.1101/2019.12.31.891598","Heritability in friendship networks","Neugart, M.; Yildirim, S.","Michael Neugart","Technische Universität Darmstadt","2020-01-01",1,"","new results","genetics","Friendship networks account for a large part of an individuals economic success or failure in life. Using data from the German TwinLife study, we explore, within a classical twin design, to which extent friendship networks are related to genes. We find a substantial heritability component in twins network sizes and network homophily, but not in twins network closeness. Addressing indirect ways in which genes could influence network characteristics, we do not find evidence that shared hobbies affects networks.","NA"
