"","doi","title","authors","author_corresponding","author_corresponding_institution","date","version","license","type","category","abstract","published"
"1","10.1101/282764","Astrocytes integrate and drive neural activity","Deemyad, T.; L&uumlthi, J.; Spruston, N.","Nelson Spruston","Janelia Research Campus, Howard Hughes Medical Institute","2018-03-15",1,"15","new results","neuroscience","Many brain functions depend on the ability of neural networks to temporally integrate transient inputs to produce sustained discharges. This can occur through cell-autonomous mechanisms in individual neurons or through reverberating activity in recurrently connected neural networks. We report a third mechanism involving temporal integration of neural activity by a network of astrocytes. Previously, we showed that some types of interneurons can generate long-lasting trains of action potentials for tens of seconds (\""barrage firing\"") following repeated depolarizing stimuli. Here, we show that calcium signaling in an astrocytic network correlates with barrage firing; that active depolarization of astrocyte networks by chemical or optogenetic stimulation enhances barrage firing; and that chelating internal calcium, inhibiting release from internal stores, or inhibiting GABA transporters or metabotropic glutamate receptors inhibited barrage firing. Thus, through complex molecular processes, networks of interconnected astrocytes influence the spatiotemporal dynamics of neural networks by directly integrating neural activity and driving long-lasting barrages of action potentials in some populations of inhibitory interneurons.","10.1038/s41467-018-06338-3"
"2","10.1101/282715","Structure of the mouse TRPC4 ion channel","Duan, J.; Li, J.; Bo, Z.; Chen, G.-L.; Peng, X.; Zhang, Y.; Wang, J.; Clapham, D. E.; Li, Z.; Zhang, J.","Zong Li","Howard Hughes Medical Institute, Harvard Medical School","2018-03-15",1,"15","new results","biophysics","Members of the transient receptor potential (TRP) ion channels conduct cations into cells. They mediate functions ranging from neuronally-mediated hot and cold sensation to intracellular organellar and primary ciliary signaling. Structures belonging to the TRPV, TRPM, TRPP, TRPA and TRPML subfamilies have been solved, but to date, none of the founding canonical (TRPC) structures. Here we report an electron cryo-microscopy (cryo-EM) structure of TRPC4 in its apo state to an overall resolution of 3.3 [A]. The structure reveals an unusually complex architecture with a long pore loop stabilized by a disulfide bond. Beyond the shared tetrameric six-transmembrane fold, the TRPC4 structure deviates from other TRP channels with a unique cytosolic domain, this unique cytosolic N-terminal domain forms extensive aromatic contacts with the TRP and the C-terminal domains. The comparison of our structure with other known TRP structures provides molecular insights into TRPC4 ion selectivity and extends our knowledge of the diversity and evolution of the TRP channels.","10.1038/s41467-018-05247-9"
"3","10.1101/282632","ERASE: a novel surface reconditioning strategy for single-molecule experiments","Broadwater, D. W. B.; Altman, R. B.; Blanchard, S. C.; Kim, H. D.","Harold D Kim","Georgia Institute of Technology, Atlanta, GA, USA","2018-03-15",1,"4","new results","biophysics","While surface-based single-molecule experiments have revolutionized our understanding of biology and biomolecules, the workflow in preparing for such experiments, especially surface cleaning and functionalization remains labor-intensive and time-consuming. Even worse, meticulously assembled flow channels can be used only once for most experiments. A reusable surface would thus dramatically increase productivity and efficiency of single-molecule experiments. In this paper, we report a novel surface reconditioning strategy termed ERASE (Epitaxial Removal Aided by Strand Exchange) that allows a single flow cell to be used for vast repetition of single-molecule experiments. In this method, biomolecules immobilized to the surface through a nucleic acid duplex are liberated when a competing DNA strand disrupts the duplex via toehold-mediated strand displacement. We demonstrate the wide-range applicability of this method with various common surface preparation techniques, fluorescent dyes, and biomolecules including the bacterial ribosome. Beyond time and cost savings, we also show ERASE can assort molecules based on a nucleic acid barcode sequence, thus allowing experiments on different molecules in parallel. Our method increases the utility of prepared surfaces and is a significant improvement to the current single-use paradigm.","10.1093/nar/gky1168"
"4","10.1101/282814","Structure of the receptor-activated human TRPC6 ion channel","Tang, Q.; Guo, W.; Zheng, L.; Wu, J.-X.; Liu, M.; Zhou, X.; Zhang, X.; Chen, L.","Xiaolin Zhang","Dizal Pharmaceutical Company","2018-03-15",1,"15","new results","biophysics","TRPC6 is a receptor-activated nonselective cation channel that belongs to the family of canonical transient receptor potential (TRPC) channels. It is activated by diacylglycerol, a lipid second messenger. TRPC6 is involved in many physiological processes and implicated in human genetic diseases. Here we present the structure of human TRPC6 homotetramer in complex with a newly identified high affinity inhibitor BTDM solved by single-particle cryo-electron microscopy to 3.8 [A] resolution. The structure shows a two-layer architecture, in which the bell-shaped cytosolic layer holds the transmembrane layer. Extensive inter-subunit interactions of cytosolic domain, including N terminal ankyrin repeats and C terminal coiled-coil, contribute to the tetramer assembly. The high affinity inhibitor BTDM wedges between S5-S6 pore domain and voltage sensor-like domain to inhibit channel opening. Our structure uncovers the molecular architecture of TRPC channels and provides a structural basis for understanding the mechanism of these channels.","10.1038/s41422-018-0038-2"
"5","10.1101/282707","Self-assembly of the RZZ complex into filaments drives kinetochore expansion in the absence of microtubule attachment","Gassmann, R.; Pereira, C.; Reis, R. M.; Gama, J. B.; Cheerambathur, D. K.; Carvalho, A. X.","Reto Gassmann","Instituto de Biologia Molecular e Celular","2018-03-15",1,"4","new results","cell biology","The kinetochore is a dynamic multi-protein assembly that forms on each sister chromatid and interacts with microtubules of the mitotic spindle to drive chromosome segregation. In animals, kinetochores without attached microtubules expand their outermost layer into crescent and ring shapes to promote microtubule capture and spindle assembly checkpoint (SAC) signalling. Kinetochore expansion is an example of protein co-polymerization, but the mechanism is not understood. Here, we present evidence that kinetochore expansion is driven by oligomerization of the Rod-Zw10-Zwilch (RZZ) complex, an outer kinetochore component that recruits the motor dynein and the SAC proteins Mad1-Mad2. Depletion of ROD in human cells suppresses kinetochore expansion, as does depletion of Spindly, the adaptor that connects RZZ to dynein, while dynein itself is dispensable. Expansion is also suppressed by mutating ZWILCH residues implicated in Spindly binding. Conversely, supplying cells with excess ROD facilitates kinetochore expansion under otherwise prohibitive conditions. Using the C. elegans early embryo, we demonstrate that ROD-1 has a concentration-dependent propensity for oligomerizing into {micro}m-scale filaments, and we identify the ROD-1 {beta}-propeller as a key regulator of self-assembly. Finally, we show that a minimal ROD-1-Zw10 complex efficiently oligomerizes into filaments in vitro. Our results suggest that RZZs capacity for oligomerization is harnessed by kinetochores to assemble the expanded outermost domain, in which RZZ filaments serve as recruitment platforms for SAC components and microtubule-binding proteins. Thus, we propose that RZZ self-assembly into filaments underlies the adaptive change in kinetochore size that contributes to chromosome segregation fidelity.","10.1016/j.cub.2018.08.056"
"6","10.1101/282103","Spatiotemporal manipulation of ciliary glutamylation reveals its roles in intraciliary trafficking and Hedgehog signaling","Hong, S.-R.; Wang, C.-L.; Huang, Y.-S.; Chang, Y.-C.; Chang, Y.-C.; Pusapati, G. V.; Lin, C.-Y.; Hsu, N.; Cheng, H.-C.; Chiang, Y.-C.; Huang, W.-E.; Shaner, N. C.; Rohatgi, R.; Inoue, T.; Lin, Y.-C.","Yu-Chun Lin","National Tsing Hua University","2018-03-15",1,"15","new results","cell biology","Tubulin post-translational modifications (PTMs) occur spatiotemporally throughout cells and are suggested to be involved in a wide range of cellular activities. However, the complexity and dynamic distribution of tubulin PTMs within cells have hindered the understanding of their physiological roles in specific subcellular compartments. Here we develop a method to rapidly deplete tubulin glutamlyation inside the primary cilia, a microtubule-based sensory organelle protruding on the cell surface, by targeting an engineered deglutamylase to the cilia in minutes. This rapid deglutamylation quickly leads to altered ciliary functions such as kinesin-2-mediated anterograde intraflagellar transport and Hedgehog signaling, along with no apparent crosstalk to other PTMs such as acetylation and detyrosination. Our study offers a feasible approach to spatiotemporally manipulate tubulin PTMs in living cells. Future expansion of the repertoire of actuators that regulate PTMs may facilitate a comprehensive understanding of how diverse tubulin PTMs encode ciliary as well as cellular functions.","10.1038/s41467-018-03952-z"
"7","10.1101/282475","Acidic microenvironment shaped by lactate accumulation promotes pluripotency through multiple mechanisms","Guo, W.-T.; Wang, S.-H.; Zhang, X.-S.; Shi, M.; Hao, J.; Wang, X.-W.; Gu, K.-L.; Duan, F.-F.; Yan, Y.; Yang, X.; Zhang, C.; Liao, L.-Q.; Wang, Y.","Yangming Wang","Peking University","2018-03-15",1,"4","new results","developmental biology","Enhanced glycolysis is a distinct feature associated with numerous stem cells and cancer cells. However, little is known about its regulatory roles in gene expression and cell fate determination. Here we show that acidic environment shaped by lactate accumulation promotes the self-renewal and pluripotency of both mouse and human embryonic stem cells (ESCs). Mechanistically, acidic pH reduces the tri-methylation of H3K27 globally at transcriptional start sites to partially prevent ESC differentiation. In addition, acidic pH stabilizes a large number of mRNAs including pluripotency genes. Furthermore, we found that AGO1 protein is downregulated at acidic conditions, leading to the de-repression of a subset of microRNA targets in low-pH treated ESCs. Altogether, our study provides insights into mechanisms whereby acidic microenvironment produced by enhanced glycolysis regulates gene expression to determine cell fate and has broad implications in the fields of regenerative medicine and cancer biology.","NA"
"8","10.1101/282731","Calcium-activated chloride channels clamp odor-evoked spike activity in olfactory receptor neurons","Zak, J. D.; Grimaud, J.; Li, R.-c.; Li, C.-c.; Murthy, V. N.","Venkatesh N. Murthy","Harvard University","2018-03-15",1,"15","new results","neuroscience","The calcium-activated chloride channel anoctamin-2 (Ano2) is thought to amplify transduction currents in ORNs, a hypothesis supported by previous studies in dissociated neurons from Ano2-/- mice. Paradoxically, despite a reduction in transduction currents in Ano2-/- ORNs, their spike output for odor stimuli may be higher. We examined the role of Ano2 in ORNs in their native environment in freely breathing mice by imaging activity in ORN axons as they arrive in the olfactory bulb glomeruli. Odor-evoked responses in ORN axons of Ano2-/- mice were consistently larger for a variety of odorants and concentrations. In an open arena, Ano2-/- mice took longer to approach a localized odor source than wild-type mice, revealing clear olfactory behavioral deficits. Our studies provide the first in vivo evidence toward an alternative role for Ano2 in the olfactory transduction cascade, where it may serve as a feedback mechanism to clamp ORN spike output.","10.1038/s41598-018-28855-3"
"9","10.1101/154377","Estimates of Introgression as a Function of Pairwise Distances","Pfeifer, B.; Kapan, D. D.","Bastian Pfeifer","Institute for Computer Science, Heinrich Heine University, Duesseldorf, Germany","2018-03-15",4,"4","new results","evolutionary biology","BackgroundResearch over the last 10 years highlights the increasing importance of hybridization between species as a major force structuring the evolution of genomes and potentially providing raw material for adaptation by natural and/or sexual selection. Fueled by research in a few model systems where phenotypic hybrids are easily identified, research into hybridization and introgression (the flow of genes between species) has exploded with the advent of whole-genome sequencing and emerging methods to detect the signature of hybridization at the whole-genome or chromosome level. Amongst these are a general class of methods that utilize patterns of single-nucleotide polymorphisms (SNPs) across a tree as markers of hybridization. These methods have been applied to a variety of genomic systems ranging from butterflies to Neanderthals to detect introgression, however, when employed at a fine genomic scale these methods do not perform well to quantify introgression in small sample windows.\n\nResultsWe introduce a novel method to detect introgression by combining two widely used statistics: pairwise nucleotide diversity dxy and Pattersons D. The resulting statistic, the Basic distance fraction (Bdf), accounts for genetic distance across possible topologies and is designed to simultaneously detect and quantify introgression. We also relate our new method to the recently published fd and incorporate these statistics into the powerful genomics R-package PopGenome, freely available on CRAN. The supplemental material contains a wide range of simulation studies and a detailed manual how to perform the statistics within the PopGenome framework.\n\nConclusionWe present a new distance based statistic Bdf that avoids the pitfalls of Pattersons D when applied to small genomic regions and accurately quantifies the fraction of introgression (f) for a wide range of simulation scenarios.","10.1186/s12859-019-2747-z"
"10","10.1101/155671","The landscape of somatic mutation in sporadic Chinese colorectal cancer","Liu, Z.; Yang, C.; Li, X.; Luo, W.; Roy, B.; Xiong, T.; Zhang, X.; Yang, H.; Wang, J.; Ye, Z.; Chen, Y.; Song, J.; Ma, S.; Zhou, Y.; Yang, M.; Fang, X.; Du, J.","Jie Du","Beijing Anzhen Hospital, Capital Medical University","2018-03-15",2,"4","new results","genomics","Colorectal cancer is the fifth prevalent cancer in China. Nevertheless, a large-scale characterization of Chinese colorectal cancer mutation spectrum has not been carried out. In this study, we have performed whole exome-sequencing analysis of 98 patients tumor samples with matched pairs of normal colon tissues using Illumina and Complete Genomics high-throughput sequencing platforms. Canonical CRC somatic gene mutations with high prevalence (>10%) have been verified, including TP53, APC, KRAS, SMAD4, FBXW7 and PIK3CA. PEG3 is identified as a novel frequently mutated gene (10.6%). APC and Wnt signaling exhibit significantly lower mutation frequencies than those in TCGA data. Analysis with clinical characteristics indicates that APC gene and Wnt signaling display lower mutation rate in lymph node positive cancer than negative ones, which are not observed in TCGA data. APC gene and Wnt signaling are considered as the key molecule and pathway for colorectal cancer initiation, and these findings greatly undermine their importance in tumor progression for Chinese patients. Taken together, the application of next-generation sequencing has led to the determination of novel somatic mutations and alternative disease mechanisms in colorectal cancer progression, which may be useful for understanding disease mechanism and personalizing treatment for Chinese patients.","10.18632/oncotarget.25287"
