"","doi","title","authors","author_corresponding","author_corresponding_institution","date","version","license","type","category","abstract","published"
"1","10.1101/2020.03.29.014159","REINDEER: efficient indexing of k-mer presence and abundance in sequencing datasets","Marchet, C.; Iqbal, Z.; Gautheret, D.; Salson, M.; Chikhi, R.","Camille Marchet","Univ. Lille, CNRS, UMR 9189 - CRIStAL, France","2020-04-16",2,"cc_by_nc_nd","new results","bioinformatics","MotivationIn this work we present REINDEER, a novel computational method that performs indexing of sequences and records their abundances across a collection of datasets. To the best of our knowledge, other indexing methods have so far been unable to record abundances efficiently across large datasets.

ResultsWe used REINDEER to index the abundances of sequences within 2,585 human RNA-seq experiments in 45 hours using only 56 GB of RAM. This makes REINDEER the first method able to record abundances at the scale of 4 billion distinct k-mers across 2,585 datasets. REINDEER also supports exact presence/absence queries of k-mers. Briefly, REINDEER constructs the compacted de Bruijn graph (DBG) of each dataset, then conceptually merges those DBGs into a single global one. Then, REINDEER constructs and indexes monotigs, which in a nutshell are groups of k-mers of similar abundances.

Availabilityhttps://github.com/kamimrcht/REINDEER

Contactcamille.marchet@univ-lille.fr","NA"
"2","10.1101/2020.04.15.043299","Murine M1 macrophages are among the direct responders to tumor-derived extracellular cGAMP and their human counterparts use SLC46A2 to import cGAMP","Cordova, A. F.; Ritchie, C.; Böhnert, V.; Mardjuki, R. E.; Li, L.","Lingyin Li","Stanford University","2020-04-16",1,"cc_by_nc_nd","new results","cancer biology","Administration of exogenous CDNs to activate the cGAMP-STING pathway is a promising therapeutic strategy to unleash the full potential of cancer immunotherapy. This strategy mirrors the role of endogenous extracellular cGAMP, which we recently described as an immunotransmitter exported by cancer cells and imported into local responder cells of unknown identities to promote anti-tumoral immunity, with irradiation enhancing this effect. Here, in low-dose irradiated murine tumors, we identified CD4+ T cells, M1 macrophages, and NKG2DLow NK cells as cGAMP responder cells that have decreased STING activation upon depletion of extracellular cGAMP. At higher doses of radiation, extracellular cGAMP promoted the death of T cells and macrophages. Furthermore, we identified the orphan protein SLC46A2 as the dominant importer of cGAMP and select bacterial CDNs in human macrophages and monocytes. Together, we provide the first cellular and molecular mechanisms of cGAMP as an immunotransmitter, paving the way for effective STING pathway therapeutics.","NA"
"3","10.1101/2020.01.05.895003","Dense cellular segmentation for EM using 2D-3D neural network ensembles","Guay, M. D.; Emam, Z. A. S.; Anderson, A. B.; Aronova, M. A.; Storrie, B.; Pokrovskaya, I. D.; Leapman, R. D.","Matthew Guay","National Institute of Biomedical Imaging and Bioengineering","2020-04-16",5,"cc0","new results","cell biology","Cell biologists can now build 3D models from segmentations of electron microscopy (EM) images, but accurate manual segmentation of densely-packed organelles across gigavoxel image volumes is infeasible. Here, we introduce 2D-3D neural network ensembles that produce dense cellular segmentations at scale, with accuracy levels that outperform baseline methods and approach those of human annotators.","NA"
"4","10.1101/2020.04.12.038307","Procentriole microtubules as drivers of centriole reduplication","Vasquez-Limeta, A.; Sullenberger, C.; Kong, D.; Lukasik, K.; Shukla, A.; Loncarek, J.","Jadranka Loncarek","National Cancer Institute, National Institutes of Health","2020-04-16",2,"cc0","new results","cell biology","Centriole reduplication leads to the formation of supernumerary centrosomes, which promote cellular transformation, invasion and are a hallmark of tumors. A close association between a mother centriole and a procentriole (engagement), established during centriole duplication, intrinsically blocks reduplication. Premature loss of centriole association predisposes centrioles for reduplication and occurs during various types of cell cycle arrests in the presence of high Polo-like kinase 1 activity. Here we use nano-scale imaging and biochemistry to reveal the processes leading to the loss of centriole association and reduplication. We discover that centriole reduplication is driven by events occurring on procentriole microtubule walls. These events are mechanistically different from mitotic centriole separation driven by Pericentrin and Separase but are similar to the physiological process of centriole distancing occurring in unperturbed cycling G2 cells. We propose a concept in which centriole reduplication is a consequence of hijacked and amplified centriole maturation process.

HighlightsO_LISeparase-mediated Pericentrin reorganization is not required for centriole distancing and reduplication in interphase.
C_LIO_LIExpression of active Plk1 in S phase leads to centrosomal ultrastructural changes resembling G2 phase.
C_LIO_LIProcentrioles without microtubule walls cannot disengage.
C_LIO_LICentriole distancing is intrinsically regulated by the events occurring on procentriole microtubules.
C_LI","NA"
"5","10.1101/2020.04.03.003632","Non-Canonical Targets of HIF1a Drive Cell-Type-Specific Dysfunction","Allan, K. C.; Hu, L. R.; Morton, A. R.; Scavuzzo, M. A.; Gevorgyan, A. S.; Clayton, B. L. L.; Bederman, I.; Hung, S.; Bartels, C. F.; Madhavan, M.; Tesar, P. J.","Paul J. Tesar","Case Western Reserve University School of Medicine","2020-04-16",2,"cc_by_nc_nd","new results","developmental biology","All mammalian cells sense and respond to insufficient oxygen, or hypoxia, through the activity of hypoxia-inducible factors (HIFs), an evolutionarily conserved family of transcriptional regulators that promote oxygen-independent energy metabolism and angiogenesis. While HIF activation is transiently protective for all cells, prolonged HIF activity drives distinct pathological responses in different tissues. How HIF achieves this pleiotropic effect is largely unknown. Here, we demonstrate that non-canonical targets of HIF1a impair the function of oligodendrocyte progenitor cells (OPCs) to generate oligodendrocytes. Beyond the canonical gene targets shared between all cell types, HIF1a also bound to and activated a unique set of targets in OPCs including Ascl2 and Dlx3. Each of these targets, when ectopically expressed, was sufficient to block oligodendrocyte development through suppression of the key oligodendrocyte regulator Sox10. Chemical screening revealed that inhibition of MEK/ERK signaling overcame the HIF1a-mediated block in oligodendrocyte generation by restoring Sox10 expression without impacting canonical HIF1a activity. Collectively this work defines the mechanism by which chronic HIF1a suppresses oligodendrocyte formation. More broadly, we establish that cell-type-specific HIF1a targets, independent of the canonical hypoxia response, perturb cell function and drive disease in chronic hypoxia.","NA"
"6","10.1101/2020.02.05.935148","Estimation of the propensity for sexual selection in a cyclical parthenogen","Duneau, D.; Altermatt, F.; Ferdy, J.-B.; Ben-ami, F.; Ebert, D.","David Duneau","University Toulouse 3 Paul Sabatier","2020-04-16",2,"cc_by_nc","new results","evolutionary biology","Cyclical parthenogenesis is a widespread reproductive strategy in which organisms go through one or multiple rounds of clonal reproduction before sexual reproduction. Because sexual reproduction is typically less common than parthenogenesis in populations of the planktonic cladoceran Daphnia magna, it is not frequently studied. Here we examine the sexual process of D. magna and its relation to sexual selection in Daphnia rockpool populations by observing natural mating in these shallow habitats where sex generally occurs throughout the summer. Although microsatellite markers were found to reveal no evidence of disassortative mating or, thus, of inbreeding avoidance, body length and infection status did reveal assortative mating, suggesting sexual selection to act. When two males mated with a single female, the larger male was observed to remain longer, possibly giving it an advantage in sperm competition. Indirect evidence points at the brood pouch as the likely site of fertilization and thus, sperm competition. Sperm length was as variable within ejaculates as it was among males from different populations. Our data provide firm evidence that sexual selection is present in this species, most likely manifesting itself through a combination of female choice and male-male competition.","NA"
"7","10.1101/2020.04.14.041608","PD-1 Specific 'Blocking' Antibodies That Deplete PD-1+ T Cells Present An Inconvenient Variable In Pre-clinical Immunotherapy Experiments","Polesso, F.; Munks, M. W.; Rott, K. H.; Smart, S.; Hill, A. B.; Moran, A. E.","Amy E Moran","Oregon Health and Science University","2020-04-16",1,"cc_by_nd","new results","immunology","Therapeutic antibodies blocking PD-1-/PD-L1 interaction have achieved remarkable clinical success in cancer. In addition to blocking a target molecule, some isotypes of antibodies can activate complement, NK cells or phagocytes, resulting in death of the cell expressing the antibodys target. Human anti-PD-1 therapeutics use antibody isotypes designed to minimize such antibody-dependent lysis. In contrast, anti-PD-1 reagents used in mice are derived from multiple species, with different isotypes, and are not engineered to reduce target cell death: few studies analyze or discuss how antibody species and isotype may impact data interpretation. We demonstrate here that anti-PD-1 therapy to promote activation and proliferation of PD-1-expressing CD8 T cells sometimes led instead to a loss of antigen specific cells. This phenomenon was seen in two tumor models and a model of virus infection, and was varied with the clone of anti-PD-1 antibody. Additionally, we compared competition among anti-PD-1 clones to find a combination that allows detection of PD-1-expressing cells despite the presence of blocking anti-PD1 antibodies in vivo. These data bring attention to the possibility of unintended target cell depletion with some commonly used anti-mouse PD-1 clones, and should provide a valuable resource for the design and interpretation of anti-PD-1 studies in mice. (200)","NA"
"8","10.1101/2020.04.14.041921","Comprehensive genome analyses of Sellimonas intestinalis, a potential biomarker of homeostasis gut recovery","Munoz, M.; Guerrero-Araya, E.; Cortes-Tapia, C.; Plaza-Garrido, A.; Lawley, T. D.; Paredes-Sabja, D.","Daniel Paredes-Sabja","Universidad Andres Bello","2020-04-16",1,"cc_no","new results","microbiology","Sellimonas intestinalis is a Gram positive and anaerobic bacterial species previously considered as uncultivable. Although little is known about this Lachnospiraceae family member, its increased abundance has been reported in patients who recovered intestinal homeostasis after dysbiosis events. In this context, the aim of this work was taken advantage of a culturomics protocol that allowed the recovery species extremely oxygen-sensitive from faecal samples, which led to the establishment of an S. intestinalis isolate. Whole genome sequencing and taxonomic allocation confirmation were the base to develop comparative analyses including 11 public genomes closely related. Phylogeographic analysis revealed the existence of three lineages (linage-I including isolates from Chile and France, linage-II from South Korea and Finland, and linage-III from China and one isolate from USA). Pangenome analysis on the established dataset revealed that although S. intestinalis seems to have a highly conserved genome (with 50.1% of its coding potential being part of the coregenome), some recombination signals were evidenced. The identification of cluster of orthologous groups revealed a high number of genes involved in metabolism, including amino acid and carbohydrate transport as well as energy production and conversion, which matches with the metabolic profile previously reported for healthy microbiota. Additionally, virulence factors and antimicrobial resistance genes were found (mainly in linage-III), which could favour their survival during antibiotic-induced dysbiosis. These findings provide the basis of knowledge about this species with potential as a bioindicator of intestinal homeostasis recovery and contribute to advance in the characterization of gut microbiota members with beneficial potential.","NA"
"9","10.1101/2020.04.14.042069","Toxoplasma gondii co-opts the unfolded protein response to enhance migration and dissemination of infected host cells","Augusto, L.; Martynowicz, J.; Amin, P. H.; Alakhras, N. S.; Kaplan, M.; Wek, R. C.; Sullivan, W. J.","William J Sullivan Jr","Indiana University School of Medicine","2020-04-16",1,"cc_no","new results","microbiology","Toxoplasma gondii is an intracellular parasite that reconfigures its host cell to promote pathogenesis. One consequence of Toxoplasma parasitism is increased migratory activity of host cells, which facilitates dissemination. Here we show that Toxoplasma triggers the unfolded protein response (UPR) in host cells through calcium release from the endoplasmic reticulum (ER). We further found that host IRE1, an ER stress sensor protein activated during Toxoplasma infection, also plays a noncanonical role in actin remodeling by binding filamin A in infected cells. By inducing cytoskeletal remodeling via IRE1 oligomerization in host cells, Toxoplasma enhances host cell migration in vitro and dissemination of the parasite to host organs in vivo. Our study identifies novel mechanisms used by Toxoplasma to induce dissemination of infected cells, providing new insights into strategies for treatment of toxoplasmosis.

ImportanceCells that are infected with the parasite Toxoplasma gondii exhibit heightened migratory activity, which facilitates dissemination of the infection throughout the body. In this study, we identify a new mechanism used by Toxoplasma to hijack its host cell and increase its mobility. We further show that the ability of Toxoplasma to increase host cell migration does not involve the enzymatic activity of IRE1, but rather IRE1 engagement with actin cytoskeletal remodeling. Depletion of IRE1 from infected host cells reduces their migration in vitro and significantly hinders dissemination of Toxoplasma in vivo. Our findings reveal a new mechanism underlying host-pathogen interactions, demonstrating how host cells are co-opted to spread a persistent infection around the body.","NA"
"10","10.1101/2020.04.15.042127","Lateral gene transfer of anion-conducting channelrhodopsins between green algae and giant viruses","Rozenberg, A.; Oppermann, J.; Wietek, J.; Fernandez Lahore, R. G.; Sandaa, R.-A.; Bratbak, G.; Hegemann, P.; Beja, O.","Peter Hegemann","Humboldt-Universität zu Berlin","2020-04-16",1,"cc_by_nc_nd","new results","microbiology","Channelrhodopsins (ChRs) are algal light-gated ion channels widely used as optogenetic tools for manipulating neuronal activity 1,2. Four ChR families are currently known. Green algal 3-5 and cryptophyte 6 cation-conducting ChRs (CCRs), cryptophyte anion-conducting ChRs (ACRs) 7, and the MerMAID ChRs 8. Here, we report the discovery of a new family of phylogenetically distinct ChRs encoded by marine giant viruses and acquired from their unicellular green algal prasinophyte hosts. These previously unknown viral and green algal ChRs act as ACRs when expressed in cultured neuroblastoma-derived cells and are likely involved in behavioral responses to light.","NA"
